IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
177,Iglesia Sta. Mª Magdalena,0xE6100000010C6ABFB513253119C029ECA2E881E14440,2012-02-22 20:10:49.810,24,107,iglesia
178,Cvrvnda,0xE6100000010C323A2009FB1619C06ADD06B5DFDE4440,2012-02-23 07:44:25.497,37,NULL,Restos arqueológicos
179,Castro 'La Luisa'. (Posible inscripción romana),0xE6100000010C3F90BC73281319C009A4C4AEEDDB4440,2012-02-23 07:50:55.153,37,NULL,Restos arqueológicos
180,Inscripción dedicatoria al Emperador Octavio Augusto (siglo I d.c).,0xE6100000010C3C6C2233171819C0596C938AC6DE4440,2012-02-23 07:56:53.687,37,NULL,Restos arqueológicos
181,Castro 'El Castrico' (Posible emplazamiento de Cvrvnda -caput civitae de los Zoelas-),0xE6100000010CA81C93C5FD1719C09546CCECF3DE4440,2012-02-23 08:00:10.043,37,NULL,Restos Arqueológicos
182,"Estelas romanas procedentes del castro 'El Castrico', insertas en fachadas de casas del pueblo",0xE6100000010CB3D2A414741B19C0F38E537424DF4440,2012-02-23 08:04:29.177,37,107,Restos arqueológicos
183,Iglesia de San Pedro,0xE6100000010CD174763238CA18C0077AA86DC3D84440,2012-02-23 18:27:36.027,42,4609,"Aquí estuvo el Iglesia de San Pedro donde peregrinaban con sus santos los pueblos colindantes. "
184,Buchina de la Redondecha,0xE6100000010C691EC022BF9E18C019C748F608D54440,2012-02-23 18:29:10.730,42,4609,NULL
185,Fuente el Billar,0xE6100000010CDD240681959318C00987DEE2E1D54440,2012-02-23 18:30:49.787,42,4609,NULL
186,La Lavandera,0xE6100000010CE50CC51D6FB218C0DBDFD91EBDD54440,2012-02-23 18:34:19.630,42,4609,NULL
187,Los Matones,0xE6100000010CF792C6681DB518C0022EC896E5D54440,2012-02-23 18:35:49.907,42,4609,NULL
188,Los Chiviriteros,0xE6100000010CB7D4415E0FB618C0EDB94C4D82D54440,2012-02-23 18:37:16.250,42,4609,NULL
189,La Encina,0xE6100000010C295C8FC2F5B818C0E8BB5B59A2D54440,2012-02-23 18:38:38.833,42,4609,NULL
190,Las Cicuteras,0xE6100000010CB1321AF9BCC218C0BBEF181EFBD54440,2012-02-23 18:40:39.387,42,4609,NULL
191,Peña Corba,0xE6100000010C809F71E140C818C0A7B393C151D64440,2012-02-23 18:41:45.527,42,4609,NULL
192,Valdecañizas,0xE6100000010CE030D12005CF18C0C5FEB27BF2D64440,2012-02-23 18:43:08.203,42,4609,NULL
193,Los Benitos,0xE6100000010CA54A94BDA5CC18C0255B5D4E09D84440,2012-02-23 18:44:52.377,42,4609,NULL
194,Las Pariciones,0xE6100000010CB91798158AC418C068226C787AD74440,2012-02-23 18:46:44.057,42,4609,NULL
195,Valdemellanes,0xE6100000010C0E1137A792C118C08E075BECF6D74440,2012-02-23 18:48:10.510,42,4609,NULL
196,Bocabrio,0xE6100000010CE21FB6F468BA18C0EBE3A1EF6ED74440,2012-02-23 18:49:59.520,42,4609,NULL
197,Millón,0xE6100000010CC3A04CA3C9D518C0C87E164B91D84440,2012-02-23 18:51:24.850,42,4609,NULL
198,La Magarza,0xE6100000010CC3B645990DD218C029CB10C7BAD84440,2012-02-23 18:53:13.677,42,4609,NULL
199,La Majada de la Ramazosa,0xE6100000010CB7D26BB3B1C218C044FCC3961ED74440,2012-02-23 18:54:19.210,42,4609,NULL
200,El Pozo Llamerón,0xE6100000010CBC94BA641CC318C08ECEF9298EDB4440,2012-02-24 06:31:05.750,27,7830,Fuente
201,El Campetón,0xE6100000010CCC09DAE4F0D918C05837DE1D19DB4440,2012-02-24 06:33:22.593,27,7830,NULL
202,Fuente las bragas,0xE6100000010CC8B260E28FC218C0DE1D19ABCDDB4440,2012-02-24 10:49:28.720,27,7830,Fuente
203,Crucero,0xE6100000010CE71725E82F4419C05E2A36E675E64440,2012-02-25 19:30:43.800,60,107,Monumento
204,Orrieta el Espantayo,0xE6100000010C4A0D6D0036C018C082751C3F54DA4440,2012-02-26 08:57:54.217,27,7830,paraje
205,Orrieta Ladrón,0xE6100000010CDACA4BFE27BF18C0450E1137A7DA4440,2012-02-26 08:59:14.137,27,7830,Paraje
206,El carril de San Pedro,0xE6100000010CDA38622D3EC518C02907B30930DA4440,2012-02-26 09:02:05.563,27,7830,Paraje
208,Las Coronas,0xE6100000010C84D558C2DA5819C056B8E52329E14440,2012-02-26 22:47:25.537,24,107,"Punto Geodésico "
209,Fuente Cantería,0xE6100000010CE753C72AA54719C0D174763238DC4440,2012-02-27 14:51:11.860,29,NULL,Fuentes
210,Pinar de Coreige,0xE6100000010C56815A0C1ED618C03EB14E95EFD74440,2012-02-27 16:56:41.310,42,20212,pinar
211,La Vereda,0xE6100000010C1DAED51EF6B218C0C63368E89FD44440,2012-02-27 16:58:13.740,42,20212,Cañada Real
